country_name_short,party_id,party_name_short,yt_page_created,month,yt_videos_n_monthly
AUS,751,AG,2006-09-20,2019-05-01,15
AUS,751,AG,2006-09-20,2019-06-01,2
AUS,751,AG,2006-09-20,2019-07-01,15
AUS,751,AG,2006-09-20,2019-08-01,3
AUS,751,AG,2006-09-20,2019-09-01,14
AUS,751,AG,2006-09-20,2019-10-01,7
AUS,751,AG,2006-09-20,2019-11-01,6
AUS,751,AG,2006-09-20,2019-12-01,2
AUS,751,AG,2006-09-20,2020-02-01,9
AUS,751,AG,2006-09-20,2020-03-01,14
AUS,751,AG,2006-09-20,2020-04-01,6
AUS,751,AG,2006-09-20,2020-05-01,7
AUS,751,AG,2006-09-20,2020-06-01,2
AUS,751,AG,2006-09-20,2020-07-01,1
AUS,751,AG,2006-09-20,2020-08-01,5
AUS,751,AG,2006-09-20,2020-09-01,7
AUS,751,AG,2006-09-20,2020-10-01,10
AUS,751,AG,2006-09-20,2020-11-01,3
AUS,751,AG,2006-09-20,2020-12-01,4
AUS,751,AG,2006-09-20,2021-02-01,12
AUS,751,AG,2006-09-20,2021-03-01,8
AUS,751,AG,2006-09-20,2021-04-01,3
AUS,751,AG,2006-09-20,2021-05-01,16
AUS,751,AG,2006-09-20,2021-06-01,11
AUS,751,AG,2006-09-20,2021-07-01,3
AUS,751,AG,2006-09-20,2021-08-01,6
AUS,751,AG,2006-09-20,2021-09-01,3
AUS,751,AG,2006-09-20,2021-10-01,8
AUS,751,AG,2006-09-20,2021-11-01,10
AUS,751,AG,2006-09-20,2021-12-01,3
AUS,751,AG,2006-09-20,2022-01-01,3
AUS,751,AG,2006-09-20,2022-02-01,10
AUS,751,AG,2006-09-20,2022-03-01,11
AUS,751,AG,2006-09-20,2022-04-01,24
AUS,751,AG,2006-09-20,2022-05-01,6
AUS,751,AG,2006-09-20,2022-07-01,3
AUS,751,AG,2006-09-20,2022-08-01,7
AUS,751,AG,2006-09-20,2022-09-01,13
AUS,751,AG,2006-09-20,2022-10-01,11
AUS,751,AG,2006-09-20,2022-11-01,27
AUS,751,AG,2006-09-20,2022-12-01,4
AUS,751,AG,2006-09-20,2023-01-01,1
AUS,751,AG,2006-09-20,2023-02-01,18
AUS,751,AG,2006-09-20,2023-03-01,21
AUS,751,AG,2006-09-20,2023-04-01,8
AUS,751,AG,2006-09-20,2023-05-01,23
AUS,751,AG,2006-09-20,2023-06-01,12
AUS,751,AG,2006-09-20,2023-07-01,1
AUS,751,AG,2006-09-20,2023-08-01,7
AUS,751,AG,2006-09-20,2023-09-01,16
AUS,751,AG,2006-09-20,2023-10-01,13
AUS,751,AG,2006-09-20,2023-11-01,34
AUS,751,AG,2006-09-20,2023-12-01,24
AUT,1013,OVP,2007-07-27,2018-03-01,1
AUT,1013,OVP,2007-07-27,2018-04-01,1
AUT,1013,OVP,2007-07-27,2018-05-01,1
AUT,1013,OVP,2007-07-27,2019-05-01,2
AUT,1013,OVP,2007-07-27,2019-12-01,1
AUT,1013,OVP,2007-07-27,2020-03-01,1
AUT,1013,OVP,2007-07-27,2020-04-01,11
AUT,1013,OVP,2007-07-27,2020-05-01,1
AUT,1013,OVP,2007-07-27,2020-09-01,1
AUT,1013,OVP,2007-07-27,2020-10-01,1
AUT,1013,OVP,2007-07-27,2021-03-01,2
AUT,1013,OVP,2007-07-27,2021-09-01,1
AUT,1013,OVP,2007-07-27,2021-12-01,2
AUT,1013,OVP,2007-07-27,2022-10-01,2
AUT,1013,OVP,2007-07-27,2022-11-01,1
AUT,1013,OVP,2007-07-27,2022-12-01,4
AUT,1013,OVP,2007-07-27,2023-03-01,13
AUT,1013,OVP,2007-07-27,2023-07-01,12
AUT,1013,OVP,2007-07-27,2023-09-01,16
AUT,1013,OVP,2007-07-27,2023-10-01,20
AUT,1013,OVP,2007-07-27,2023-11-01,40
AUT,1013,OVP,2007-07-27,2023-12-01,15
AUT,1429,Gruene,2008-03-03,2008-06-01,2
AUT,1429,Gruene,2008-03-03,2008-08-01,1
AUT,1429,Gruene,2008-03-03,2008-09-01,22
AUT,1429,Gruene,2008-03-03,2008-10-01,1
AUT,1429,Gruene,2008-03-03,2008-12-01,2
AUT,1429,Gruene,2008-03-03,2009-01-01,5
AUT,1429,Gruene,2008-03-03,2009-02-01,8
AUT,1429,Gruene,2008-03-03,2009-04-01,5
AUT,1429,Gruene,2008-03-03,2009-05-01,10
AUT,1429,Gruene,2008-03-03,2009-06-01,1
AUT,1429,Gruene,2008-03-03,2009-07-01,2
AUT,1429,Gruene,2008-03-03,2009-08-01,1
AUT,1429,Gruene,2008-03-03,2009-09-01,5
AUT,1429,Gruene,2008-03-03,2009-10-01,2
AUT,1429,Gruene,2008-03-03,2009-11-01,2
AUT,1429,Gruene,2008-03-03,2010-03-01,4
AUT,1429,Gruene,2008-03-03,2010-04-01,1
AUT,1429,Gruene,2008-03-03,2010-06-01,3
AUT,1429,Gruene,2008-03-03,2010-07-01,6
AUT,1429,Gruene,2008-03-03,2010-08-01,3
AUT,1429,Gruene,2008-03-03,2010-09-01,23
AUT,1429,Gruene,2008-03-03,2010-10-01,13
AUT,1429,Gruene,2008-03-03,2010-11-01,10
AUT,1429,Gruene,2008-03-03,2010-12-01,10
