country_name_short,party_id,party_name_short,tw_page_created,month,tw_posts_n_monthly
AUS,154,LNPQ,2010-08-18,2012-07-01,10
AUS,154,LNPQ,2010-08-18,2012-09-01,4
AUS,154,LNPQ,2010-08-18,2012-11-01,10
AUS,154,LNPQ,2010-08-18,2013-02-01,1
AUS,154,LNPQ,2010-08-18,2013-04-01,1
AUS,154,LNPQ,2010-08-18,2013-05-01,3
AUS,154,LNPQ,2010-08-18,2013-08-01,227
AUS,154,LNPQ,2010-08-18,2013-09-01,114
AUS,154,LNPQ,2010-08-18,2013-10-01,6
AUS,154,LNPQ,2010-08-18,2013-11-01,13
AUS,154,LNPQ,2010-08-18,2013-12-01,5
AUS,154,LNPQ,2010-08-18,2014-01-01,10
AUS,154,LNPQ,2010-08-18,2014-02-01,22
AUS,154,LNPQ,2010-08-18,2014-03-01,2
AUS,154,LNPQ,2010-08-18,2014-04-01,5
AUS,154,LNPQ,2010-08-18,2014-05-01,2
AUS,154,LNPQ,2010-08-18,2014-06-01,3
AUS,154,LNPQ,2010-08-18,2014-07-01,148
AUS,154,LNPQ,2010-08-18,2014-08-01,9
AUS,154,LNPQ,2010-08-18,2014-09-01,4
AUS,154,LNPQ,2010-08-18,2014-10-01,7
AUS,154,LNPQ,2010-08-18,2014-11-01,34
AUS,154,LNPQ,2010-08-18,2014-12-01,5
AUS,154,LNPQ,2010-08-18,2015-01-01,309
AUS,154,LNPQ,2010-08-18,2015-02-01,3
AUS,154,LNPQ,2010-08-18,2015-03-01,1
AUS,154,LNPQ,2010-08-18,2015-04-01,2
AUS,154,LNPQ,2010-08-18,2015-05-01,5
AUS,154,LNPQ,2010-08-18,2015-06-01,1
AUS,154,LNPQ,2010-08-18,2015-07-01,42
AUS,154,LNPQ,2010-08-18,2015-09-01,1
AUS,154,LNPQ,2010-08-18,2015-10-01,1
AUS,154,LNPQ,2010-08-18,2015-11-01,11
AUS,154,LNPQ,2010-08-18,2016-03-01,1
AUS,154,LNPQ,2010-08-18,2016-05-01,1
AUS,154,LNPQ,2010-08-18,2016-08-01,23
AUS,154,LNPQ,2010-08-18,2016-11-01,23
AUS,154,LNPQ,2010-08-18,2016-12-01,2
AUS,154,LNPQ,2010-08-18,2017-03-01,6
AUS,154,LNPQ,2010-08-18,2017-04-01,5
AUS,154,LNPQ,2010-08-18,2017-05-01,13
AUS,154,LNPQ,2010-08-18,2017-06-01,4
AUS,154,LNPQ,2010-08-18,2017-07-01,58
AUS,154,LNPQ,2010-08-18,2017-08-01,18
AUS,154,LNPQ,2010-08-18,2017-09-01,15
AUS,154,LNPQ,2010-08-18,2017-10-01,54
AUS,154,LNPQ,2010-08-18,2017-11-01,126
AUS,154,LNPQ,2010-08-18,2017-12-01,1
AUS,154,LNPQ,2010-08-18,2018-01-01,11
AUS,154,LNPQ,2010-08-18,2018-02-01,28
AUS,154,LNPQ,2010-08-18,2018-03-01,19
AUS,154,LNPQ,2010-08-18,2018-04-01,6
AUS,154,LNPQ,2010-08-18,2018-05-01,11
AUS,154,LNPQ,2010-08-18,2018-06-01,19
AUS,154,LNPQ,2010-08-18,2018-07-01,18
AUS,154,LNPQ,2010-08-18,2018-08-01,14
AUS,154,LNPQ,2010-08-18,2018-09-01,3
AUS,154,LNPQ,2010-08-18,2018-10-01,19
AUS,154,LNPQ,2010-08-18,2018-11-01,25
AUS,154,LNPQ,2010-08-18,2018-12-01,10
