country_name_short,party_id,party_name_short,insta_page_created,day,insta_posts_n_daily,insta_type_img_n_daily,insta_type_vid_n_daily,insta_type_car_n_daily
AUS,1253,ALP,2016-05-23,2021-05-27,4,4,0,0
AUS,1253,ALP,2016-05-23,2021-05-28,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-05-29,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-05-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-05-31,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-06-02,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-06-03,4,4,0,0
AUS,1253,ALP,2016-05-23,2021-06-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-06-05,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-06-06,1,0,0,1
AUS,1253,ALP,2016-05-23,2021-06-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-06-08,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-06-09,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-06-10,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-06-11,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-12,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-16,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-06-17,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-06-21,4,4,0,0
AUS,1253,ALP,2016-05-23,2021-06-22,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-06-23,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-06-24,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-25,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-26,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-27,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-28,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-29,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-06-30,4,4,0,0
