country_name_short,party_id,party_name_short,yt_page_created,day,yt_videos_n_daily
AUS,1253,ALP,2007-06-11,2017-06-27,6
AUS,1253,ALP,2007-06-11,2018-02-24,1
AUS,1253,ALP,2007-06-11,2018-03-06,1
AUS,1253,ALP,2007-06-11,2018-05-12,1
AUS,1253,ALP,2007-06-11,2018-06-12,1
AUS,1253,ALP,2007-06-11,2018-06-17,2
AUS,1253,ALP,2007-06-11,2018-06-19,1
AUS,1253,ALP,2007-06-11,2018-06-20,2
AUS,1253,ALP,2007-06-11,2018-06-21,2
AUS,1253,ALP,2007-06-11,2018-06-22,1
AUS,1253,ALP,2007-06-11,2018-06-23,2
AUS,1253,ALP,2007-06-11,2018-06-25,1
AUS,1253,ALP,2007-06-11,2018-06-27,1
AUS,1253,ALP,2007-06-11,2018-07-05,1
AUS,1253,ALP,2007-06-11,2018-07-06,1
AUS,1253,ALP,2007-06-11,2018-07-18,1
AUS,1253,ALP,2007-06-11,2018-08-17,1
AUS,1253,ALP,2007-06-11,2018-08-27,1
AUS,1253,ALP,2007-06-11,2018-10-07,1
AUS,1253,ALP,2007-06-11,2018-10-16,1
AUS,1253,ALP,2007-06-11,2018-12-15,2
AUS,1253,ALP,2007-06-11,2018-12-16,8
AUS,1253,ALP,2007-06-11,2018-12-17,8
AUS,1253,ALP,2007-06-11,2018-12-18,8
AUS,1253,ALP,2007-06-11,2019-02-02,1
AUS,1253,ALP,2007-06-11,2019-02-04,1
AUS,1253,ALP,2007-06-11,2019-02-19,1
AUS,1253,ALP,2007-06-11,2019-02-20,1
AUS,1253,ALP,2007-06-11,2019-02-25,1
AUS,1253,ALP,2007-06-11,2019-03-18,1
AUS,1253,ALP,2007-06-11,2019-03-25,1
AUS,1253,ALP,2007-06-11,2019-03-27,1
AUS,1253,ALP,2007-06-11,2019-03-31,1
AUS,1253,ALP,2007-06-11,2019-04-02,1
AUS,1253,ALP,2007-06-11,2019-04-03,1
AUS,1253,ALP,2007-06-11,2019-04-04,2
AUS,1253,ALP,2007-06-11,2019-04-05,2
AUS,1253,ALP,2007-06-11,2019-04-06,1
AUS,1253,ALP,2007-06-11,2019-04-07,1
AUS,1253,ALP,2007-06-11,2019-04-08,3
AUS,1253,ALP,2007-06-11,2019-04-09,3
AUS,1253,ALP,2007-06-11,2019-04-10,2
AUS,1253,ALP,2007-06-11,2019-04-11,1
AUS,1253,ALP,2007-06-11,2019-04-12,1
AUS,1253,ALP,2007-06-11,2019-04-13,2
AUS,1253,ALP,2007-06-11,2019-04-14,2
AUS,1253,ALP,2007-06-11,2019-04-15,1
AUS,1253,ALP,2007-06-11,2019-04-16,2
AUS,1253,ALP,2007-06-11,2019-04-17,1
AUS,1253,ALP,2007-06-11,2019-04-18,1
AUS,1253,ALP,2007-06-11,2019-04-20,1
AUS,1253,ALP,2007-06-11,2019-04-22,1
AUS,1253,ALP,2007-06-11,2019-04-24,1
AUS,1253,ALP,2007-06-11,2019-04-26,2
AUS,1253,ALP,2007-06-11,2019-04-27,1
AUS,1253,ALP,2007-06-11,2019-04-28,2
AUS,1253,ALP,2007-06-11,2019-04-29,2
AUS,1253,ALP,2007-06-11,2019-04-30,3
AUS,1253,ALP,2007-06-11,2019-05-01,2
AUS,1253,ALP,2007-06-11,2019-05-02,1
AUS,1253,ALP,2007-06-11,2019-05-05,1
AUS,1253,ALP,2007-06-11,2019-05-06,1
AUS,1253,ALP,2007-06-11,2019-05-07,2
AUS,1253,ALP,2007-06-11,2019-05-08,1
AUS,1253,ALP,2007-06-11,2019-05-09,1
AUS,1253,ALP,2007-06-11,2019-05-10,1
AUS,1253,ALP,2007-06-11,2019-05-11,3
AUS,1253,ALP,2007-06-11,2019-05-12,1
AUS,1253,ALP,2007-06-11,2019-05-13,1
AUS,1253,ALP,2007-06-11,2019-05-14,1
AUS,1253,ALP,2007-06-11,2019-05-15,1
AUS,1253,ALP,2007-06-11,2019-05-16,2
AUS,1253,ALP,2007-06-11,2019-05-17,3
AUS,1253,ALP,2007-06-11,2020-05-07,1
AUS,1253,ALP,2007-06-11,2020-05-26,1
AUS,1253,ALP,2007-06-11,2021-02-14,1
AUS,1253,ALP,2007-06-11,2021-03-30,2
AUS,1253,ALP,2007-06-11,2021-03-31,1
AUS,1253,ALP,2007-06-11,2021-06-18,1
AUS,1253,ALP,2007-06-11,2021-07-09,1
AUS,1253,ALP,2007-06-11,2021-08-23,1
AUS,1253,ALP,2007-06-11,2021-08-31,1
AUS,1253,ALP,2007-06-11,2021-09-06,1
AUS,1253,ALP,2007-06-11,2021-09-16,1
AUS,1253,ALP,2007-06-11,2021-09-17,1
AUS,1253,ALP,2007-06-11,2021-10-07,1
AUS,1253,ALP,2007-06-11,2021-12-01,2
AUS,1253,ALP,2007-06-11,2021-12-03,1
AUS,1253,ALP,2007-06-11,2022-01-24,1
AUS,1253,ALP,2007-06-11,2022-02-08,1
AUS,1253,ALP,2007-06-11,2022-04-03,1
AUS,1253,ALP,2007-06-11,2022-04-10,1
AUS,1253,ALP,2007-06-11,2022-04-16,1
AUS,1253,ALP,2007-06-11,2022-04-19,1
AUS,1253,ALP,2007-06-11,2022-05-12,2
AUS,1253,ALP,2007-06-11,2022-05-19,1
AUS,1411,LPA,2008-09-29,2010-06-21,1
AUS,1411,LPA,2008-09-29,2010-07-03,1
AUS,1411,LPA,2008-09-29,2010-07-29,2
AUS,1411,LPA,2008-09-29,2010-08-05,1
AUS,1411,LPA,2008-09-29,2011-06-17,1
AUS,1411,LPA,2008-09-29,2012-02-25,1
AUS,1411,LPA,2008-09-29,2012-04-26,1
AUS,1411,LPA,2008-09-29,2012-09-01,1
AUS,1411,LPA,2008-09-29,2013-03-20,1
AUS,1411,LPA,2008-09-29,2013-06-26,1
AUS,1411,LPA,2008-09-29,2013-06-27,1
AUS,1411,LPA,2008-09-29,2013-07-01,1
AUS,1411,LPA,2008-09-29,2013-07-04,1
AUS,1411,LPA,2008-09-29,2013-08-29,1
AUS,1411,LPA,2008-09-29,2015-06-26,1
AUS,1411,LPA,2008-09-29,2015-07-23,1
AUS,1411,LPA,2008-09-29,2016-06-30,1
AUS,1411,LPA,2008-09-29,2017-09-28,1
AUS,1411,LPA,2008-09-29,2018-06-15,2
AUS,1411,LPA,2008-09-29,2018-06-16,1
AUS,1411,LPA,2008-09-29,2018-07-10,1
AUS,1411,LPA,2008-09-29,2018-07-26,1
AUS,1411,LPA,2008-09-29,2019-01-24,2
AUS,1411,LPA,2008-09-29,2019-01-30,1
AUS,1411,LPA,2008-09-29,2019-02-10,1
AUS,1411,LPA,2008-09-29,2019-02-12,1
AUS,1411,LPA,2008-09-29,2019-03-06,1
AUS,1411,LPA,2008-09-29,2019-04-03,1
AUS,1411,LPA,2008-09-29,2019-04-04,1
AUS,1411,LPA,2008-09-29,2019-04-10,1
AUS,1411,LPA,2008-09-29,2019-04-12,1
AUS,1411,LPA,2008-09-29,2019-04-13,1
AUS,1411,LPA,2008-09-29,2019-04-14,2
AUS,1411,LPA,2008-09-29,2019-04-15,1
AUS,1411,LPA,2008-09-29,2019-04-18,5
AUS,1411,LPA,2008-09-29,2019-04-20,1
AUS,1411,LPA,2008-09-29,2019-04-21,1
AUS,1411,LPA,2008-09-29,2019-04-23,1
AUS,1411,LPA,2008-09-29,2019-04-24,3
AUS,1411,LPA,2008-09-29,2019-04-25,1
AUS,1411,LPA,2008-09-29,2019-04-26,1
AUS,1411,LPA,2008-09-29,2019-04-27,1
AUS,1411,LPA,2008-09-29,2019-04-28,1
AUS,1411,LPA,2008-09-29,2019-04-29,1
AUS,1411,LPA,2008-09-29,2019-05-01,2
AUS,1411,LPA,2008-09-29,2019-05-02,6
AUS,1411,LPA,2008-09-29,2019-05-05,7
AUS,1411,LPA,2008-09-29,2019-05-06,1
AUS,1411,LPA,2008-09-29,2019-05-07,8
AUS,1411,LPA,2008-09-29,2019-05-08,4
AUS,1411,LPA,2008-09-29,2019-05-09,1
AUS,1411,LPA,2008-09-29,2019-05-10,4
AUS,1411,LPA,2008-09-29,2019-05-11,1
AUS,1411,LPA,2008-09-29,2019-05-12,1
AUS,1411,LPA,2008-09-29,2019-05-13,1
AUS,1411,LPA,2008-09-29,2019-05-14,1
AUS,1411,LPA,2008-09-29,2019-05-15,3
AUS,1411,LPA,2008-09-29,2019-05-17,2
AUS,1411,LPA,2008-09-29,2019-05-30,1
AUS,1411,LPA,2008-09-29,2019-09-19,2
AUS,1411,LPA,2008-09-29,2019-10-19,1
AUS,1411,LPA,2008-09-29,2019-10-29,1
AUS,1411,LPA,2008-09-29,2019-12-10,4
AUS,1411,LPA,2008-09-29,2020-06-25,1
AUS,1411,LPA,2008-09-29,2020-06-26,1
AUS,1411,LPA,2008-09-29,2020-09-28,2
AUS,1411,LPA,2008-09-29,2021-05-17,4
AUS,1411,LPA,2008-09-29,2021-06-01,2
AUS,1411,LPA,2008-09-29,2021-06-02,5
AUS,1411,LPA,2008-09-29,2022-02-06,1
AUS,1411,LPA,2008-09-29,2022-03-31,1
AUS,1411,LPA,2008-09-29,2022-04-03,1
AUS,1411,LPA,2008-09-29,2022-04-08,1
AUS,1411,LPA,2008-09-29,2022-04-09,1
AUS,1411,LPA,2008-09-29,2022-04-10,1
AUS,1411,LPA,2008-09-29,2022-04-11,1
AUS,1411,LPA,2008-09-29,2022-04-14,1
AUS,1411,LPA,2008-09-29,2022-04-15,2
AUS,1411,LPA,2008-09-29,2022-04-16,1
AUS,1411,LPA,2008-09-29,2022-04-19,1
AUS,1411,LPA,2008-09-29,2022-04-20,1
AUS,1411,LPA,2008-09-29,2022-04-21,1
AUS,1411,LPA,2008-09-29,2022-04-22,1
AUS,1411,LPA,2008-09-29,2022-04-24,1
AUS,1411,LPA,2008-09-29,2022-04-25,1
AUS,1411,LPA,2008-09-29,2022-04-26,2
AUS,1411,LPA,2008-09-29,2022-04-29,1
AUS,1411,LPA,2008-09-29,2022-05-03,2
AUS,1411,LPA,2008-09-29,2022-05-04,3
AUS,1411,LPA,2008-09-29,2022-05-05,1
AUS,1411,LPA,2008-09-29,2022-05-06,1
AUS,1411,LPA,2008-09-29,2022-05-07,1
AUS,1411,LPA,2008-09-29,2022-05-08,2
AUS,1411,LPA,2008-09-29,2022-05-09,1
AUS,1411,LPA,2008-09-29,2022-05-10,2
AUS,1411,LPA,2008-09-29,2022-05-11,6
AUS,1411,LPA,2008-09-29,2022-05-12,3
AUS,1411,LPA,2008-09-29,2022-05-15,4
AUS,1411,LPA,2008-09-29,2022-05-17,3
AUS,1411,LPA,2008-09-29,2022-05-18,1
AUS,1411,LPA,2008-09-29,2022-05-19,2
AUS,1411,LPA,2008-09-29,2022-05-20,1
AUS,1411,LPA,2008-09-29,2023-05-20,4
AUS,1411,LPA,2008-09-29,2023-06-17,1
AUS,1411,LPA,2008-09-29,2023-09-20,1
AUS,154,LNPQ,2008-07-27,2016-02-14,2
AUS,154,LNPQ,2008-07-27,2016-03-08,1
AUS,154,LNPQ,2008-07-27,2016-04-22,1
AUS,154,LNPQ,2008-07-27,2016-06-27,1
AUS,154,LNPQ,2008-07-27,2016-07-01,1
