country_name_short,party_id,party_name_short,yt_page_created,year,yt_videos_n_yearly
CAN,448,BQ,2007-10-22,2013,3
CAN,448,BQ,2007-10-22,2014,9
CAN,448,BQ,2007-10-22,2015,57
CAN,448,BQ,2007-10-22,2016,243
CAN,448,BQ,2007-10-22,2017,6
CAN,448,BQ,2007-10-22,2019,9
CAN,448,BQ,2007-10-22,2020,12
CAN,448,BQ,2007-10-22,2021,25
CAN,448,BQ,2007-10-22,2022,25
CAN,448,BQ,2007-10-22,2023,31
CHE,1213,BDP,2011-07-04,2011,6
CHE,1213,BDP,2011-07-04,2012,19
CHE,1213,BDP,2011-07-04,2013,282
CHE,1213,BDP,2011-07-04,2014,31
CHE,1213,BDP,2011-07-04,2015,47
CHE,1213,BDP,2011-07-04,2016,13
CHE,1213,BDP,2011-07-04,2017,5
CHE,1213,BDP,2011-07-04,2018,8
CHE,1213,BDP,2011-07-04,2019,16
CHE,1213,BDP,2011-07-04,2020,18
CHE,1226,S,2011-10-10,2014,18
CHE,1226,S,2011-10-10,2015,31
CHE,1226,S,2011-10-10,2016,7
CHE,1226,S,2011-10-10,2017,18
CHE,1226,S,2011-10-10,2018,9
CHE,1226,S,2011-10-10,2019,14
CHE,1226,S,2011-10-10,2020,50
CHE,1226,S,2011-10-10,2021,24
CHE,1226,S,2011-10-10,2022,1
CHE,1226,S,2011-10-10,2023,12
CHE,1318,EDU-UDF,2019-10-11,2019,4
CHE,1318,EDU-UDF,2019-10-11,2020,3
CHE,1318,EDU-UDF,2019-10-11,2022,2
CHE,141,Grue,2011-01-05,2011,3
CHE,141,Grue,2011-01-05,2019,3
CHE,141,Grue,2011-01-05,2021,7
CHE,141,Grue,2011-01-05,2022,22
CHE,141,Grue,2011-01-05,2023,13
CHE,1500,LdT,2020-07-21,2020,1
CHE,1500,LdT,2020-07-21,2021,2
CHE,2599,MCR,2022-04-07,2022,6
CHE,2599,MCR,2022-04-07,2023,7
CHE,26,FDP-PRD,2010-04-22,2010,3
CHE,26,FDP-PRD,2010-04-22,2011,62
CHE,26,FDP-PRD,2010-04-22,2012,16
CHE,26,FDP-PRD,2010-04-22,2013,47
CHE,26,FDP-PRD,2010-04-22,2014,18
CHE,26,FDP-PRD,2010-04-22,2015,33
CHE,26,FDP-PRD,2010-04-22,2016,32
CHE,26,FDP-PRD,2010-04-22,2017,36
CHE,26,FDP-PRD,2010-04-22,2018,66
CHE,26,FDP-PRD,2010-04-22,2019,49
CHE,26,FDP-PRD,2010-04-22,2020,53
CHE,26,FDP-PRD,2010-04-22,2021,100
CHE,26,FDP-PRD,2010-04-22,2022,33
CHE,26,FDP-PRD,2010-04-22,2023,44
CHE,308,GPL-PVL,2014-11-12,2018,1
CHE,308,GPL-PVL,2014-11-12,2019,68
CHE,308,GPL-PVL,2014-11-12,2020,89
CHE,308,GPL-PVL,2014-11-12,2021,61
CHE,308,GPL-PVL,2014-11-12,2022,119
CHE,308,GPL-PVL,2014-11-12,2023,240
CHE,35,SP-PS,2007-06-18,2007,13
CHE,35,SP-PS,2007-06-18,2008,1
CHE,35,SP-PS,2007-06-18,2009,7
CHE,35,SP-PS,2007-06-18,2010,9
CHE,35,SP-PS,2007-06-18,2011,16
CHE,35,SP-PS,2007-06-18,2012,16
CHE,35,SP-PS,2007-06-18,2013,13
CHE,35,SP-PS,2007-06-18,2014,9
CHE,35,SP-PS,2007-06-18,2015,2
CHE,35,SP-PS,2007-06-18,2016,7
CHE,35,SP-PS,2007-06-18,2017,26
CHE,35,SP-PS,2007-06-18,2018,11
CHE,35,SP-PS,2007-06-18,2019,15
CHE,35,SP-PS,2007-06-18,2020,25
CHE,35,SP-PS,2007-06-18,2021,46
CHE,35,SP-PS,2007-06-18,2022,35
CHE,35,SP-PS,2007-06-18,2023,62
CHE,531,KK/CVP,2011-09-23,2011,2
CHE,531,KK/CVP,2011-09-23,2014,4
CHE,531,KK/CVP,2011-09-23,2015,14
CHE,531,KK/CVP,2011-09-23,2016,47
CHE,531,KK/CVP,2011-09-23,2017,1
CHE,531,KK/CVP,2011-09-23,2018,6
CHE,531,KK/CVP,2011-09-23,2019,45
CHE,531,KK/CVP,2011-09-23,2020,38
CHE,531,KK/CVP,2011-09-23,2021,49
CHE,531,KK/CVP,2011-09-23,2022,13
CHE,531,KK/CVP,2011-09-23,2023,193
CHE,602,EVP-PEP,2011-09-27,2016,15
CHE,602,EVP-PEP,2011-09-27,2017,5
CHE,602,EVP-PEP,2011-09-27,2018,11
CHE,602,EVP-PEP,2011-09-27,2019,21
CHE,602,EVP-PEP,2011-09-27,2020,71
CHE,602,EVP-PEP,2011-09-27,2021,23
CHE,602,EVP-PEP,2011-09-27,2022,39
CHE,602,EVP-PEP,2011-09-27,2023,16
CHE,750,SVP-UDC,2007-08-23,2007,2
CHE,750,SVP-UDC,2007-08-23,2008,25
CHE,750,SVP-UDC,2007-08-23,2009,41
CHE,750,SVP-UDC,2007-08-23,2010,27
CHE,750,SVP-UDC,2007-08-23,2011,54
CHE,750,SVP-UDC,2007-08-23,2012,18
CHE,750,SVP-UDC,2007-08-23,2013,23
CHE,750,SVP-UDC,2007-08-23,2014,13
CHE,750,SVP-UDC,2007-08-23,2015,23
CHE,750,SVP-UDC,2007-08-23,2016,8
CHE,750,SVP-UDC,2007-08-23,2017,16
CHE,750,SVP-UDC,2007-08-23,2018,44
CHE,750,SVP-UDC,2007-08-23,2019,52
CHE,750,SVP-UDC,2007-08-23,2020,69
CHE,750,SVP-UDC,2007-08-23,2021,83
CHE,750,SVP-UDC,2007-08-23,2022,56
CHE,750,SVP-UDC,2007-08-23,2023,23
CYP,1575,DISY,2009-04-27,2009,48
CYP,1575,DISY,2009-04-27,2010,100
CYP,1575,DISY,2009-04-27,2011,200
CYP,1575,DISY,2009-04-27,2012,68
CYP,1575,DISY,2009-04-27,2013,159
CYP,1575,DISY,2009-04-27,2014,218
CYP,1575,DISY,2009-04-27,2015,288
CYP,1575,DISY,2009-04-27,2016,368
CYP,1575,DISY,2009-04-27,2017,363
CYP,1575,DISY,2009-04-27,2018,361
CYP,1575,DISY,2009-04-27,2019,390
CYP,1575,DISY,2009-04-27,2020,570
CYP,1575,DISY,2009-04-27,2021,725
CYP,1575,DISY,2009-04-27,2022,513
CYP,1575,DISY,2009-04-27,2023,475
CYP,1621,KOP,2009-04-30,2009,7
CYP,1621,KOP,2009-04-30,2013,67
CYP,1621,KOP,2009-04-30,2014,24
CYP,1621,KOP,2009-04-30,2015,25
CYP,1621,KOP,2009-04-30,2016,37
CYP,1621,KOP,2009-04-30,2017,118
CYP,1621,KOP,2009-04-30,2018,312
CYP,1621,KOP,2009-04-30,2019,419
CYP,1621,KOP,2009-04-30,2020,370
CYP,1621,KOP,2009-04-30,2021,382
CYP,1621,KOP,2009-04-30,2022,724
CYP,1621,KOP,2009-04-30,2023,583
CYP,1768,ELAM,2009-01-03,2010,7
CYP,1768,ELAM,2009-01-03,2011,21
CYP,1768,ELAM,2009-01-03,2012,18
CYP,1768,ELAM,2009-01-03,2013,60
CYP,1768,ELAM,2009-01-03,2014,43
CYP,1768,ELAM,2009-01-03,2015,33
CYP,1768,ELAM,2009-01-03,2016,105
CYP,1768,ELAM,2009-01-03,2017,156
CYP,1768,ELAM,2009-01-03,2018,188
CYP,1768,ELAM,2009-01-03,2019,143
CYP,1768,ELAM,2009-01-03,2020,234
CYP,1768,ELAM,2009-01-03,2021,440
CYP,1768,ELAM,2009-01-03,2022,401
CYP,1768,ELAM,2009-01-03,2023,295
CYP,2741,DP,2018-05-17,2018,4
CYP,2741,DP,2018-05-17,2019,7
CYP,2741,DP,2018-05-17,2020,14
CYP,2741,DP,2018-05-17,2021,172
