country_name_short,party_id,party_name_short,insta_page_created,week,insta_posts_n_weekly,insta_type_img_n_weekly,insta_type_vid_n_weekly,insta_type_car_n_weekly
AUS,1411,LPA,2013-03-20,2022-05-15,106,91,14,1
AUS,1411,LPA,2013-03-20,2022-05-29,3,3,0,0
AUS,1411,LPA,2013-03-20,2022-06-05,2,1,1,0
AUS,1411,LPA,2013-03-20,2022-06-19,1,1,0,0
AUS,1411,LPA,2013-03-20,2022-06-26,1,1,0,0
AUS,1411,LPA,2013-03-20,2022-07-03,1,1,0,0
AUS,1411,LPA,2013-03-20,2022-07-17,6,6,0,0
AUS,1411,LPA,2013-03-20,2022-07-24,8,8,0,0
AUS,1411,LPA,2013-03-20,2022-07-31,4,4,0,0
AUS,1411,LPA,2013-03-20,2022-08-07,5,5,0,0
AUS,1411,LPA,2013-03-20,2022-08-14,4,3,1,0
AUS,1411,LPA,2013-03-20,2022-08-21,3,3,0,0
AUS,1411,LPA,2013-03-20,2022-08-28,3,3,0,0
AUS,1411,LPA,2013-03-20,2022-09-04,8,8,0,0
AUS,1411,LPA,2013-03-20,2022-09-18,3,3,0,0
AUS,1411,LPA,2013-03-20,2022-09-25,9,9,0,0
AUS,1411,LPA,2013-03-20,2022-10-02,4,4,0,0
AUS,1411,LPA,2013-03-20,2022-10-09,7,6,1,0
